,source,target,value
848,Leaf,Sasuke,5
849,Ushi,lnu,5
850,Jigumo,Sakura,5
851,Ino,Mizuki,5
852,Mondai,Poccha,5
853,Inu,Mi,5
854,Ninja,Sagi,5
855,Orochimaru,Rasengan,5
856,Naruto,Onbaa,5
857,Jigumo,Naruto,5
858,Mi,Ne,5
859,Tori,U,5
860,Lee,Ranmaru,5
861,Akahoshi,Shadow,5
862,Jin,uma,5
863,Ninja,the,5
864,Iruka,Shikamaru,5
865,Jigumo,Sasame,5
866,Gamakichi,Naruto,5
867,Mi,Uma,5
868,U,Uma,5
869,Mi,Tori,5
870,Ninja,Sumaru,5
871,Harmonia,Lee,5
872,Fujin,Shikamaru,5
873,Ninja,Tazuna,5
874,Ninja,Shikamaru,5
875,Desert,Lee,4
876,Akamaru,Jutsu,4
877,Chunin,Kiba,4
878,Chunin,Mizuki,4
879,Akamaru,Kakashi,4
880,Akamaru,Genno,4
881,Sumaru,The,4
882,Shizune,Yakumo,4
883,Chunin,Hinata,4
884,Bushy,Yagura,4
885,Shizune,Ton,4
886,Ryonin,Teuchi,4
887,Naruto,Sharingan,4
888,Akio,Rasengan,4
889,Ding-dong,Ding-dong.,4
890,Udon,–,4
891,Naruto,Sazanami,4
892,Akimichi,Choji,4
893,Pervy,the,4
894,Ne,Sasuke,4
895,Byakugan,Lee,4
896,Bikochu,Naruto,4
897,Naruto,Yagura,4
898,Sarutobi,Sasuke,4
899,Akamaru,Ino,4
900,Mondai,The,4
901,Naruto,Yoroi,4
902,Rasengan,Sakura,4
903,Arashi,Sassme,4
904,Sasuke,Tatsu,4
905,Naruto,Natsuhiboshi,4
906,Sarutobi,Tsunade,4
907,Boss,Karashi,4
908,Boss,Jirocho,4
909,Choji,Kakashi,4
910,Neji,Sand,4
911,Choji,Janin,4
912,Neji,Shadow,4
913,Chakra,Sumaru,4
914,Zabuza,the,4
915,Sasame,The,4
916,Sasame,Tsunade,4
917,Billboard,Sakura,4
918,Choji,Sand,4
919,Burn,Kabuto,4
920,Akahoshi,Tsunade,4
921,Pervy,Toad,4
922,Chunin,Sakura,4
923,Tsunade,Yakumo,4
924,Naruto,jonin,4
925,Chunin,Yakumo,4
926,Ninja,Ryonin,4
927,Lee,Uchiha,4
928,Mai,Naruto,4
929,Chidori,Jutsu,4
930,Oli,Sasuke,4
931,Lee,Todoroki,4
932,hitsuji,tori,4
933,Mizukage,Zabuza,4
934,Lee,Yakumo,4
935,Neji,Yagura,4
936,Big,Sasuke,4
937,Choji,Chunin,4
938,hitsuji,ushi,4
939,Forge,Sasuke,4
940,Asuma,Sakura,4
941,Gaara,Jutsu,4
942,Neji,the,4
943,lnu,ushi,4
944,Sensei,Yagura,4
945,Chidori,Rasengan,4
946,Gaara,Jiraiya,4
947,Mi,U,4
948,Ninja,Tsunade,4
949,Asuma,Hinata,4
950,Sasuke,Transform,4
951,Ninja,Orochimaru,4
952,Orochimaru,Ton,4
953,Lightning,the,4
954,Ablaze,Choji,4
955,Satomi,Yakumo,4
956,Futa,Kagetsu,4
957,Sensei,Tsunade,4
958,B-Bushy,Sasuke,4
959,Arashi,Kamikiri,4
960,Abate,Kurenai,4
961,Menma,Shikamaru,4
962,Menma,Sasuke,4
963,Asuma,Kisame,4
964,-zu-ma-ki,Naruto,4
965,Asuma,Ton,4
966,tatsu,tori,4
967,Asuma,Itachi,4
968,Sasuke,Yashamaru,4
969,Ayame,the,4
970,hitsuji,saru,4
971,McCoy,Toki,4
972,Ninja,Shinobi,4
973,2K,–,4
974,Chidori,Lightning,4
975,Ninja,Sasame,4
976,Sharingan,Tazuna,4
977,Fukusuke,Wagarashi,4
978,mi,ushi,4
979,saru,tatsu,4
980,Neji,Rokusuke,4
981,Kayo,Milady,4
982,Orochimaru,lsaribi,4
983,Itachi,Jutsu,4
984,Iruka,Jutsu,4
985,Gaara,Tori,4
986,Lee,Rokusuke,4
987,Itachi,Shisui,4
988,Hinata,Suzumebachi,4
989,Iruka,Sensei,4
990,Gosa,Naruto,4
991,Hoshikage,Natsuhi,4
992,Genno,Neji,4
993,Jiraiya,That,4
994,Ibiki,Sasuke,4
995,Kidomaru,Orochimaru,4
996,Hiashi,the,4
997,Guy,Mondai,4
998,Ibiki,Morino,4
999,Jiraiya,Jutsu,4
1000,Kakashi,Tenten,4
1001,Guy,Harmonia,4
1002,Jiraiya,Sakura,4
1003,Genin,Shikamaru,4
1004,Kiba,Sand,4
1005,Kurenai,Ton,4
1006,Hinata,Hokage,4
1007,Kakashi,Lightning,4
1008,Gaara,Saru,4
1009,Haruna,Jiga,4
1010,Isaribi,Sea,4
1011,Ebisu,Transform,4
1012,Kin,Sasuke,4
1013,Iruka,Nine-Tail,4
1014,Lee,Raido,4
1015,Hinata,Sand,4
1016,Itachi,a,4
1017,Gaara,Ne,4
1018,Kikusuke,Yurinojou,4
1019,Iruka,Shinobi,4
1020,Iruka,Lee,4
1021,Kisame,Kurenai,4
1022,Kazekage,Temari,4
1023,Hinata,Pervy,4
1024,Iruka,Jiraiya,4
1025,Isaribi,lsaribi,4
1026,Iruka,lruka,4
1027,Giichi,Inari,4
1028,Itachi,Kurenai,4
1029,Gaara,Tatsu,4
1030,Itachi,Pervy,4
1031,Itachi,Raiga,4
1032,Kakashi,Konohamaru,4
1033,Hinata,Rasengan,4
1034,Humph,Sasuke,4
1035,Gaara,Sagi,4
1036,Kiba,Sis,4
1037,Harmonia,Hokage,4
1038,Genma,Lee,4
1039,Kidomaru,Sasuke,4
1040,Harmonia,Ino,4
1041,Gantetsu,Rasengan,4
1042,Harmonia,Kakashi,4
1043,Guy,Poccha,4
1044,Hinata,Ichiraku,4
1045,Harmonia,Kiba,4
1046,Hinata,Sensei,4
1047,Iruka,Ninja,4
1048,Chidori,–,4
1049,Saru,Sasuke,4
1050,Akatsuki,Kakashi,4
1051,Choji,Ryonin,4
1052,Sakura,Temari,4
1053,Sakura,Yagura,4
1054,Ebisu,Harem,4
1055,Choji,Raijin,4
1056,Shikamaru,Uchiha,4
1057,Brow,Sakura,4
1058,Akamaru,Rashomon,4
1059,Hokuto,Naruto,4
1060,Shikamaru,Tsuchi,4
1061,Jigumo,Kagero,4
1062,Dozaemon,Sakura,4
1063,Grandma,Yakumo,4
1064,Guy,Rock,4
1065,Jirobo,Orochimaru,4
1066,Gantetsu,Shura,4
1067,Hayate,Sasuke,4
1068,Kurenai,Mizuki,4
1069,Haruna,Tsunade,4
1070,Kiba,Shadow,4
1071,Kidomaru,Sakon,4
1072,Gantetsu,The,4
1073,Harem,Naruto,4
1074,Kurosuki,Sasuke,4
1075,Kuni,Naruto,4
1076,Kabuto,Sakura,4
1077,Leaf,Ninja,4
1078,K-Kurenai,Kurenai,4
1079,Guy,Raiga,4
1080,Hinata,Kayo,4
1081,Inari,Zabuza,4
1082,Leaf,Lightning,4
1083,Genin,Orochimaru,4
1084,Lee,Might,4
1085,Leaf,Sand,4
1086,Gamakichi,Sakura,4
1087,Komei,Neji,4
1088,Isaribi,Isarirbi,3
1089,Genin,Guy,3
1090,Akahoshi,Lee,3
1091,Akahoshi,Natsuhiboshi,3
1092,Naruto,Ninjas,3
1093,Nanafushi,Naruto,3
1094,Kurosuki,Sakura,3
1095,Agira,Might,3
1096,hitsuji,uma,3
1097,Yakumo,d,3
1098,Kurama,Murakumo,3
1099,Moegi,Sasuke,3
1100,Intense,Naruto,3
1101,Isaribi,Sasuke,3
1102,Kurenai,the,3
1103,Agari,Shinobi,3
1104,Naruto,Nine-Tailed,3
1105,Inu,Tora,3
1106,Fang,Shikamaru,3
1107,Inu,Sarutobi,3
1108,Itachi,Sakura,3
1109,Abumi,Shino,3
1110,Dosu,Zaku,3
1111,McCoy,Tsunade,3
1112,Ino-Shika-Cho,Kiba,3
1113,Akagi,Tsunade,3
1114,Kurenai,Shizune,3
1115,Ushi,tori,3
1116,Ushi,saru,3
1117,Akahoshi,Kujaku,3
1118,Gatô,Haku,3
1119,Ebisu,Jonin,3
1120,Akahoshi,Leaf,3
1121,Enma,Hokage,3
1122,Kurenai,Old,3
1123,Inu,lnu,3
1124,Gekko,Hayate,3
1125,Itachi,Sharingan,3
1126,Mi,Ushi,3
1127,Gekko,Orochimaru,3
1128,Moso,Wandering,3
1129,Naruto,Tori,3
1130,Wagarashi,Wasabi,3
1131,Akahoshi,Tenten,3
1132,Gennai,Naruto,3
1133,mi,uma,3
1134,Jerk,Sasuke,3
1135,Konohamaru,Kurenai,3
1136,Akahoshi,Shisou,3
1137,Konohamaru,the,3
1138,Genin,Tsunade,3
1139,Kunoichi,Naruto,3
1140,Genin,Kakashi,3
1141,Janin,Yurinojou,3
1142,Uma,lnu,3
1143,Naruto,Rokusuke,3
1144,Ino,Raijin,3
1145,Itachi,Zabuza,3
1146,Akahoshi,the,3
1147,Dojo,Sensei,3
1148,Jako,Yagura,3
1149,Naruto,Tyson,3
1150,Fukusuke,Jirocho,3
1151,Menma,Orochimaru,3
1152,Fang,Gosunkugi,3
1153,Mi,Saru,3
1154,lnu,uma,3
1155,Aburame,Hinata,3
1156,Kurosuki,Neji,3
1157,Naruto,Tsuzumi,3
1158,Uroko,Yakumo,3
1159,Genin,Hyuga,3
1160,Mi,Tatsu,3
1161,Mi,Sarutobi,3
1162,Genjutsu,Sasuke,3
1163,Akamaru,Guy,3
1164,Gamabunta,Kazekage,3
1165,Naruto,Shura,3
1166,Demon,Naruto,3
1167,Naruto,That,3
1168,U,Ushi,3
1169,Ding,ding-dong-ding,3
1170,Abate,Sensei,3
1171,Naruto,Tobei,3
1172,Gaara,that,3
1173,Idate,ldate,3
1174,GAI,KAKASHI,3
1175,Gon,Naruto,3
1176,Jibachi,Naruto,3
1177,Gaara,Uma,3
1178,Kisame,Sasuke,3
1179,Naruto,a,3
1180,Jiga,Renga,3
1181,Fukusuke,Sasuke,3
1182,Naruto,ldate,3
1183,Inari,Mommy,3
1184,Naruto,na,3
1185,Choji,Hyuga,3
1186,Chunin,Itachi,3
1187,Fujin,Ino,3
1188,Kimimaro,Sakon,3
1189,Chunin,Genin,3
1190,Grandma,Hinata,3
1191,Akamaru,Jirobo,3
1192,Iruka,Leaf,3
1193,Grandma,Raiga,3
1194,Gaara,Ushi,3
1195,Kisame,the,3
1196,Chunin,Shinobi,3
1197,Inari,Tazuna,3
1198,Gosunkugi,Torpedo,3
1199,Ne,Sarutobi,3
1200,Tori,tatsu,3
1201,Gosunkugi,The,3
1202,Gosunkugi,Shinobi,3
1203,Akamaru,Kayo,3
1204,Grampa,Inari,3
1205,Choji,Vulgar,3
1206,Choji,Teuchi,3
1207,Matsuri,Naruto,3
1208,Nawaki,Orochimaru,3
1209,Ne,Tora,3
1210,Natsuhiboshi,Rasengan,3
1211,Choji,Tunneling,3
1212,Natsuhi,The,3
1213,Futa,Shino,3
1214,Genno,Sakura,3
1215,Akamaru,Ninja,3
1216,Lightning,Ninja,3
1217,Guy,Hokage,3
1218,Kiba,Sound,3
1219,Grandma,Lee,3
1220,Grandma,Naruto,3
1221,Naruto,Yamanaka,3
1222,Kikunojou,Yurinojou,3
1223,Kikunojou,Shizune,3
1224,Grandpa,Hokage,3
1225,Choji,Rock,3
1226,Ne,lnu,3
1227,Kidomaru,the,3
1228,Neji,Sound,3
1229,Idate,Morino,3
1230,Neji,Owashi,3
1231,Kiba,the,3
1232,Akamaru,Sakon,3
1233,Choji,Kurenai,3
1234,Gaara,Shino,3
1235,Choji,Kikusuke,3
1236,Gaara,Hitsuji,3
1237,Kiba,Tayuya,3
1238,Tori,hitsuji,3
1239,Grandma,Kayo,3
1240,tatsu,ushi,3
1241,Choji,Fujin,3
1242,Neji,Toki,3
1243,Guy,Kiba,3
1244,Akamaru,Sis,3
1245,Neji,–,3
1246,Akamaru,Tayuya,3
1247,Gaara,Inu,3
1248,Lightning,Mark,3
1249,Chishima,Uzumaki,3
1250,Jin,lnu,3
1251,Kiba,Ninja,3
1252,Guy,Orochimaru,3
1253,Tora,Ushi,3
1254,Chishima,Kakashi,3
1255,Jin,mi,3
1256,Ninja,Todoroki,3
1257,Akamaru,The,3
1258,Itachi,the,3
1259,Tori,mi,3
1260,Dojo,Intense,3
1261,Hanzaki,The,3
1262,Ranmaru,Sansho,3
1263,Hanzaki,Tsunade,3
1264,Jiraiya,Onbaa,3
1265,Pakkun,Sasuke,3
1266,Harem,Sasuke,3
1267,Akamaru,Uchiha,3
1268,Chidori,Lee,3
1269,Pervy,Sannin,3
1270,Byakugan,Sazanami,3
1271,Kamikiri,Sasame,3
1272,Toad,the,3
1273,Byakugan,Owashi,3
1274,I,Yakumo,3
1275,Karashi,Rock,3
1276,Pervy,The,3
1277,Harmonia,Orochimaru,3
1278,Byakugan,Kayo,3
1279,Byakugan,Rasengan,3
1280,Lee,Temari,3
1281,Hokage,Humph,3
1282,Shikamaru,Tyson,3
1283,Kagetsu,Shino,3
1284,Sand,Shikamaru,3
1285,Sannin,Sasuke,3
1286,Hinata,Yurinoshin,3
1287,Shikamaru,Toki,3
1288,Saru,Tora,3
1289,Saru,U,3
1290,Saru,lnu,3
1291,Sarutobi,Tori,3
1292,Kagero,Sasuke,3
1293,Sasu,Sasuke,3
1294,Sarutobi,U,3
1295,Hitsuji,Sarutobi,3
1296,Sarutobi,Uma,3
1297,Hokuto,Natsuhi,3
1298,Hitsuji,Tora,3
1299,Blaze,Byakugan,3
1300,Sasame,a,3
1301,Hitsuji,lnu,3
1302,Byakugan,Unkai,3
1303,I-Ibiki,Morino,3
1304,Guy,Yakumo,3
1305,Byakugan,Ichiraku,3
1306,Tora,Uma,3
1307,Jiraiya,Shizune,3
1308,Hatake,Kakashi,3
1309,Byakugan,Fang,3
1310,Bushy-Brow’s,Kakashi,3
1311,Tenten,Yagura,3
1312,Byakugan,Gosa,3
1313,Chidori,Sharingan,3
1314,Teuchi,the,3
1315,Tora,Tori,3
1316,Haruna,Janin,3
1317,Pop,Sakura,3
1318,Bushy-Brows,Gantetsu,3
1319,Tenten,Toki,3
1320,Jin,tatsu,3
1321,Bushy-Brow’s,Sasuke,3
1322,Kankuro,Tsurugi,3
1323,Jako,Rokkaku,3
1324,Hyuga,Sasuke,3
1325,Raiga,Zabuza,3
1326,Omaru,Sumaru,3
1327,Poccha,The,3
1328,Kazekage,Naruto,3
1329,Ibiki,Naruto,3
1330,Akamaru,the,3
1331,Chakra,Shikamaru,3
1332,Haku,Inari,3
1333,Orochimaru,Rashomon,3
1334,Kazekage,Sarutobi,3
1335,Kayo,Kiba,3
1336,Chakra,Gaara,3
1337,Hayate,Kabuto,3
1338,Akatsuki,Itachi,3
1339,Oli,Pervy,3
1340,Jiraiya,Manda,3
1341,Kazekage,Uchiha,3
1342,Chidori,Itachi,3
1343,Orochimaru,–,3
1344,Jiraiya,Rasengan,3
1345,Kakashi,Leaf,3
1346,Tazuna,the,3
1347,Hizashi,Ninja,3
1348,Shikamaru,–,3
1349,Kakashi,Obito,3
1350,Sakur--,Sakura,3
1351,Sakur--,Sasuke,3
1352,Sakura,Sand,3
1353,Hoshikage,Neji,3
1354,Bunzo,Tsunade,3
1355,Hinata,Renga,3
1356,Buddha,Shikamaru,3
1357,Guy,Sansho,3
1358,Jonin,Kakashi,3
1359,Hinata,Sazanami,3
1360,Ruiga,Yurinojou,3
1361,Anbu,Orochimaru,3
1362,Kakashi,–,3
1363,Tatsu,lnu,3
1364,Bushy-Brow,Lee,3
1365,Jiraiya,that,3
1366,Tatsu,U,3
1367,Sakon,the,3
1368,Sakon,Ukon,3
1369,Kakashi,Toki,3
1370,Guy,Ninja,3
1371,Ninja,Zabuza,3
1372,Kagero,Kamikiri,3
1373,Akamaru,Beast,3
1374,Naruto,Saru,3
1375,Gamakichi,Gamatatsu,3
1376,Genin,Temari,3
1377,Naruto,Sand,3
1378,Chief,Toad,3
1379,Hinata,Jibachi,3
1380,Hinata,Lightning,3
1381,Bushy,Chunin,3
1382,Hinata,Kakashi,3
1383,Sagi,Sand,3
1384,Sagi,Sasuke,3
1385,Sagi,That,3
1386,Hinata,Kikusuke,3
1387,Anbu,Sasuke,3
1388,Shinobi,Yakumo,3
1389,Kakashi,Tora,3
1390,Kujaku,Natsuhi,3
1391,Humph,Naruto,3
1392,Jonin,Sensei,3
1393,Sasuke,Tsukuyomi,3
1394,Sasuke,Uzumaki,3
1395,Jutsu,Kurenai,3
1396,Sasuke,a,3
1397,Arashi,Jutsu,3
1398,Hokage,Nine-Tail,3
1399,Sazanami,Tokichi,3
1400,KAKASHI,ZABUSA,3
1401,Asuma,Chunin,3
1402,Ayame,Ninja,3
1403,Seaweed,–,3
1404,Senta,Tsunade,3
1405,Hokage,Shino,3
1406,Jutsu,Tsunade,3
1407,Hokage,The,3
1408,Sakura,Yuhi,3
1409,Bushy,Tsunada,3
1410,Aoi,Sasuke,3
1411,Hoki,Jutsu,3
1412,Hokage,Jirocho,3
1413,Bushy,Karashi,3
1414,Hiashi,Leaf,3
1415,Hokage,Jiraiya,3
1416,Rasengan,Tsunade,3
1417,Hiashi,Mark,3
1418,Tatsu,Tora,3
1419,Bushy,Orochimaru,3
1420,Kakashi,Tayuya,3
1421,Roger,Sumaru,3
1422,Sasuke,Tenten,3
1423,Jirobo,the,3
1424,Humph,Tsunade,3
1425,Rogue,Sumaru,3
1426,Sakura,a,3
1427,Sakura,Uchiha,3
1428,Kabuto,Shizune,3
1429,Rogue,Zabuza,3
1430,Kakashi,Sensei,3
1431,Rokkaku,Yagura,3
1432,Hidden,Sumaru,2
1433,Guy,Uchiha,2
1434,Guy,Zabuza,2
1435,Hidden,Tsunade,2
1436,Guy,lt,2
1437,Boss,Ranmaru,2
1438,Hakkaku,Teuchi,2
1439,Chakra,Lee,2
1440,Guy,Ichiraku,2
1441,Bikochu,Kiba,2
1442,Hidden,Neji,2
1443,Hinata,Shadow,2
1444,Buddha,the,2
1445,Guy,Temari,2
1446,Buddha,Sakura,2
1447,Chidori,Pervy,2
1448,Hidden,Naruto,2
1449,Hiashi,Tyson,2
1450,Gaara,Suiko,2
1451,Guy,Leaf,2
1452,Brother,Itachi,2
1453,Harmonia,Neji,2
1454,Harmonia,Shikamaru,2
1455,Buddha,Wagarashi,2
1456,Gaara,Pervy,2
1457,Haku,Kekkei,2
1458,Bikochu,Hinata,2
1459,Boss,–,2
1460,Gaara,U,2
1461,Gaara,Shizune,2
1462,Gaara,Tsunade,2
1463,Gaara,Tora,2
1464,Chakra,Kakashi,2
1465,Chakra,Kankuro,2
1466,Guy,Might,2
1467,Bro,Hokage,2
1468,Buddha,Fukusuke,2
1469,Guy,Nanafushi,2
1470,Big,Itachi,2
1471,Hinata,Iruka,2
1472,Baki,Kazekage,2
1473,Hatake,Sagi,2
1474,Hayate,Hokage,2
1475,Gaara,Ino,2
1476,Bastard,Sasuke,2
1477,Hayate,Kakashi,2
1478,Buddha,Kiba,2
1479,Hayate,Obito,2
1480,Gaara,Hoko,2
1481,Gaara,Hatake,2
1482,Gaara,Guy,2
1483,Byakugan,Zaku,2
1484,Hayate,Shinobi,2
1485,Grandpa,–,2
1486,Fever,Tsunade,2
1487,Gamble,Tsunade,2
1488,Gamakichi,Jutsu,2
1489,Ichiraku,Tsunade,2
1490,Gaara,Jonin,2
1491,CHOJI,JIROBO,2
1492,Big,Idate,2
1493,Buddy,Naruto,2
1494,Bastard,Naruto,2
1495,Hinata,Kamizuru,2
1496,Grandma,Zabuza,2
1497,B-Bushy,Bushy,2
1498,Ayame,Choji,2
1499,Hinata,Mark,2
1500,Grandma,Tsunade,2
1501,Asuma,Tsunade,2
1502,Harutaro,Lee,2
1503,Hinata,Rock,2
1504,Grandpa,Tsunade,2
1505,Bastard,Sakura,2
1506,Haruna,Jutsu,2
1507,CHOJI,FATSO~,2
1508,Big,Shikamaru,2
1509,Big,Kunihisa,2
1510,Guy,Intense,2
1511,Forsake,Sumaru,2
1512,Harem,Transform,2
1513,Choji,Gaara,2
1514,Hoki,Naruto,2
1515,Chakra,Choji,2
1516,Burn,Return,2
1517,Choji,Fang,2
1518,Hokage,squirt,2
1519,Burn,Sarutobi,2
1520,Choji,Fifth,2
1521,Fifth,Hokage,2
1522,Hoki,Leaf,2
1523,Fifth,Guy,2
1524,Choji,Guy,2
1525,Burn,Sensei,2
1526,Anbu,Anko,2
1527,Burn,Sharingan,2
1528,Hokage,the,2
1529,Hokage,lruka,2
1530,Burn,Omasa,2
1531,Hoki,Komei,2
1532,Burn,Gamatatsu,2
1533,Byakugan,Tsunade,2
1534,Bushy,Might,2
1535,Grandfather,Nawaki,2
1536,Fukusuke,Sakura,2
1537,Hinata,lno,2
1538,Bushy-Brow's,Kakashi,2
1539,Hitode,Naruto,2
1540,Asuma,Iruka,2
1541,Hitsuji,Naruto,2
1542,Fifth,Sakura,2
1543,Chief,Jutsu,2
1544,Aoi,Jirocho,2
1545,Gosa,–,2
1546,Hokage,Ninjas,2
1547,Burn,Sakura,2
1548,Anko,Hayate,2
1549,Hoki,Kakashi,2
1550,Chikara,Naruto,2
1551,Aoi,Burn,2
1552,Billboard,Ino,2
1553,Gamakichi,Jiraiya,2
1554,CHOJI,~FATSO,2
1555,Haku,Tazuna,2
1556,Chakra,Naruto,2
1557,Hana,Naruto,2
1558,Guy,Jutsu,2
1559,Chakra,Neji,2
1560,Gaara,Mi,2
1561,Gaara,Lotus,2
1562,Asuma,Shizune,2
1563,Gamatatsu,Orochimaru,2
1564,Gaara,Lightning,2
1565,Chakra,Sasuke,2
1566,Haku,Sharingan,2
1567,Black,Crow,2
1568,Billboard,Sasuke,2
1569,Billboard,Lee,2
1570,Asuma,Temari,2
1571,Hinata,Sound,2
1572,Hokage,Proctor,2
1573,Fifth,Sasuke,2
1574,Anko,–,2
1575,Chikara,lntense-Brow,2
1576,Chishima,Gaara,2
1577,Burn,Fukusuke,2
1578,Chishima,Sand,2
1579,Gonta,Hokage,2
1580,Burn,Guy,2
1581,Chishima,The,2
1582,Fifth,Tsunade,2
1583,Burn,Iruka,2
1584,Gon,na,2
1585,Burn,Kakashi,2
1586,Fist,Hinata,2
1587,Cho,Han,2
1588,Burn,Konohamaru,2
1589,First,Orochimaru,2
1590,Ino,Kurenai,2
1591,Genin,Kiba,2
1592,Injure,Lee,2
1593,Akahoshi,The,2
1594,Choji,Vendetta,2
1595,Choji,Jutsu,2
1596,Choji,lno,2
1597,FATSO~,JIROBO,2
1598,Hokuto,The,2
1599,Hokuto,Rogue,2
1600,Choji,lno-Shika-Cho,2
1601,Choji,Sound,2
1602,Ibiki,Jiraiya,2
1603,Choji,Jirobo,2
1604,Fang,Sakon,2
1605,Genma,Uchiha,2
1606,Iruka,Obito,2
1607,Genno,Ichiraku,2
1608,Genma,Sasuke,2
1609,Amachi,Chief,2
1610,Akio,Bushy,2
1611,Hokuto,the,2
1612,Humph,Leaf,2
1613,Hoshikage,Mizura,2
1614,Bushy-Brows,Todoroki,2
1615,Agari,Ichiraku,2
1616,Bushy-Brow’s,Kekkei,2
1617,Ino,lno-Shika-Cho,2
1618,Ino-Shika-Cho,Iruka,2
1619,Crow,Kankuro,2
1620,Ino-Shika-Cho,Naruto,2
1621,Agari,Akamaru,2
1622,Bushy,Konohamaru,2
1623,Bushy,Ino,2
1624,Gaara,lnu,2
1625,Fang,Tayuya,2
1626,FATSO~,~FATSO,2
1627,Humph,Kakashi,2
1628,Akatsuki,Pervy,2
1629,Bushy,Choji,2
1630,Byakugan,Komei,2
1631,Gantetsu,Gon,2
1632,Choji,Leaf,2
1633,Bushy,Gantetsu,2
1634,Choji,Ichiraku,2
1635,Choji,Ino-Shika-Cho,2
1636,I,Kurenai,2
1637,Byakugan,Pervy,2
1638,Hyuga,Shikamaru,2
1639,Ebisu,Sakura,2
1640,Gantetsu,na,2
1641,Akamaru,Temari,2
1642,Akamaru,Ukon,2
1643,Genjutsu,Tsukuyomi,2
1644,Choji,Jiga,2
1645,Gantesu,Ninja,2
1646,Akamaru,Kurenai,2
1647,Hyuga,Mark,2
1648,Hokuto,Neji,2
1649,Ibiki,Idate,2
1650,Hyuga,Ninja,2
1651,Genjutsu,Shikamaru,2
1652,I,d,2
1653,Genma,Raido,2
1654,Akamaru,lno,2
1655,Genno,Jutsu,2
1656,Akatsuki,Tsunade,2
1657,Choji,Ruiga,2
1658,Akatsuki,Sage,2
1659,Byakugan,Kujaku,2
1660,Akatsuki,Chidori,2
1661,Fang,Jirobo,2
1662,Akamaru,Pervy,2
1663,Amaterasu,Tsukuyomi,2
1664,Akamaru,Shinemon,2
1665,Ebisu,Sasuke,2
1666,Akamaru,Sazanami,2
1667,Akamaru,Sand,2
1668,Choji,the,2
1669,Genjutsu,Naruto,2
1670,Ami,Ino,2
1671,Ino-Shika-Cho,Shikamaru,2
1672,Desert,Jutsu,2
1673,Crow,Gaara,2
1674,Byakugan,Gosunkugi,2
1675,Akamaru,Hana,2
1676,Ebisu,Hokage,2
1677,Chunin,Hyuga,2
1678,Gato,Ninja,2
1679,Ibiki,lbiki,2
1680,Doubtless,Kabuto,2
1681,Gato,Sakura,2
1682,Chunin,Iruka,2
1683,Akamaru,Burn,2
1684,Gato,Sasuke,2
1685,Bushy,Matsuri,2
1686,Akamaru,Bushy,2
1687,Ichiraku,Shinobi,2
1688,Ichiraku,Teuchi,2
1689,Fatty,Naruto,2
1690,Gato,The,2
1691,Ding-dong,Dong,2
1692,Dosu,Kin,2
